Study,Reasoning (%),Non-reasoning (%),Difference (%),95% CI (diff),Z-test,Z p-value,Chi²,Chi² p-value,Cohen's h,Effect size
Neutral: OpenAI (o3 vs 4.1) - overall_accuracy,67.0,54.5,12.5,"[2.9, 22.1]",z = 2.56,p < .05,6.55,p < .05,0.26,Small
Neutral: OpenAI (o3 vs 4.1) - truth_bias,57.5,94.5,-37.0,"[-45.4, -28.6]",z = -8.66,p < .001,75.05,p < .001,-0.95,Large
Neutral: Anthropic (3.7 Sonnet vs 3.5 Haiku) - overall_accuracy,69.5,62.5,7.0,"[-2.3, 16.3]",z = 1.48,p = 0.139,2.18,p = 0.139,0.15,Negligible
Neutral: Anthropic (3.7 Sonnet vs 3.5 Haiku) - truth_bias,66.5,79.5,-13.0,"[-21.7, -4.3]",z = -2.93,p < .01,8.57,p < .01,-0.29,Small
Neutral: DeepSeek (R1 vs V3) - overall_accuracy,52.5,54.0,-1.5,"[-11.3, 8.3]",z = -0.30,p = 0.764,0.09,p = 0.764,-0.03,Negligible
Neutral: DeepSeek (R1 vs V3) - truth_bias,92.5,60.0,32.5,"[24.2, 40.8]",z = 7.64,p < .001,58.33,p < .001,0.81,Large
Veracity: OpenAI (o3 vs 4.1) - overall_accuracy,74.5,55.0,19.5,"[10.1, 28.9]",z = 4.08,p < .001,16.66,p < .001,0.41,Small
Veracity: OpenAI (o3 vs 4.1) - truth_bias,57.5,93.0,-35.5,"[-44.0, -27.0]",z = -8.23,p < .001,67.67,p < .001,-0.88,Large
Veracity: Anthropic (3.7 Sonnet vs 3.5 Haiku) - overall_accuracy,59.5,62.5,-3.0,"[-12.6, 6.6]",z = -0.62,p = 0.539,0.38,p = 0.539,-0.06,Negligible
Veracity: Anthropic (3.7 Sonnet vs 3.5 Haiku) - truth_bias,29.0,79.5,-50.5,"[-60.3, -40.7]",z = -10.14,p < .001,102.75,p < .001,-1.06,Large
Veracity: DeepSeek (R1 vs V3) - overall_accuracy,61.0,50.5,10.5,"[0.8, 20.2]",z = 2.11,p < .05,4.47,p < .05,0.21,Small
Veracity: DeepSeek (R1 vs V3) - truth_bias,69.0,53.5,15.5,"[6.0, 25.0]",z = 3.18,p < .01,10.12,p < .01,0.32,Small
Base-Rate: OpenAI (o3 vs 4.1) - overall_accuracy,67.0,62.0,5.0,"[-4.4, 14.4]",z = 1.04,p = 0.296,1.09,p = 0.296,0.10,Negligible
Base-Rate: OpenAI (o3 vs 4.1) - truth_bias,56.5,85.0,-28.5,"[-37.4, -19.6]",z = -6.26,p < .001,39.25,p < .001,-0.65,Medium
Base-Rate: Anthropic (3.7 Sonnet vs 3.5 Haiku) - overall_accuracy,63.0,55.5,7.5,"[-2.1, 17.1]",z = 1.53,p = 0.127,2.33,p = 0.127,0.15,Negligible
Base-Rate: Anthropic (3.7 Sonnet vs 3.5 Haiku) - truth_bias,39.0,55.5,-16.5,"[-26.3, -6.7]",z = -3.31,p < .001,10.92,p < .001,-0.33,Small
Base-Rate: DeepSeek (R1 vs V3) - overall_accuracy,56.5,52.5,4.0,"[-5.8, 13.8]",z = 0.80,p = 0.422,0.65,p = 0.422,0.08,Negligible
Base-Rate: DeepSeek (R1 vs V3) - truth_bias,74.5,52.5,22.0,"[12.6, 31.4]",z = 4.57,p < .001,20.88,p < .001,0.46,Small
